Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create Sweep,,,2019-11-27 12:02:00,2019-11-27 12:02:12,11.412s,ERROR
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account for sweep type XF,,,2019-11-27 12:02:01,2019-11-27 12:02:02,1.243s,ERROR
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:02:02,2019-11-27 12:02:02,0.033s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:02:02,2019-11-27 12:02:02,0.263s,ERROR
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account for sweep type CD and Account not unique,,,2019-11-27 12:02:02,2019-11-27 12:02:03,0.764s,ERROR
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:02:03,2019-11-27 12:02:03,0.002s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:02:03,2019-11-27 12:02:03,0.015s,ERROR
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account for sweep type CD code missing,,,2019-11-27 12:02:03,2019-11-27 12:02:04,0.943s,ERROR
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:02:04,2019-11-27 12:02:04,0.005s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:02:04,2019-11-27 12:02:04,0.012s,ERROR
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account for sweep type OD,,,2019-11-27 12:02:04,2019-11-27 12:02:05,0.739s,ERROR
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:02:05,2019-11-27 12:02:05,0.004s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:02:05,2019-11-27 12:02:05,0.020s,ERROR
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account for sweep type TB,,,2019-11-27 12:02:05,2019-11-27 12:02:06,0.742s,ERROR
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:02:06,2019-11-27 12:02:06,0.016s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:02:06,2019-11-27 12:02:06,0.014s,ERROR
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account for sweep type TC,,,2019-11-27 12:02:06,2019-11-27 12:02:07,0.934s,ERROR
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:02:07,2019-11-27 12:02:07,0.040s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:02:07,2019-11-27 12:02:07,0.020s,ERROR
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account for sweep type TD,,,2019-11-27 12:02:07,2019-11-27 12:02:08,0.880s,ERROR
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:02:08,2019-11-27 12:02:08,0.003s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:02:08,2019-11-27 12:02:08,0.011s,ERROR
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account with out mandatory fields,,,2019-11-27 12:02:08,2019-11-27 12:02:08,0.737s,ERROR
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:02:08,2019-11-27 12:02:08,0.020s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:02:08,2019-11-27 12:02:08,0.033s,ERROR
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account duplicate driver presents,,,2019-11-27 12:02:08,2019-11-27 12:02:09,0.703s,ERROR
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:02:09,2019-11-27 12:02:09,0.003s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:02:09,2019-11-27 12:02:09,0.026s,ERROR
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account account number lass then origin,,,2019-11-27 12:02:09,2019-11-27 12:02:10,0.666s,ERROR
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:02:10,2019-11-27 12:02:10,0.001s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:02:10,2019-11-27 12:02:10,0.013s,ERROR
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account for sweep type MF,,,2019-11-27 12:02:10,2019-11-27 12:02:10,0.693s,ERROR
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:02:10,2019-11-27 12:02:10,0.002s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:02:10,2019-11-27 12:02:10,0.009s,ERROR
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account for sweep type OD inv instr cde for driver type,,,2019-11-27 12:02:10,2019-11-27 12:02:11,0.562s,ERROR
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:02:11,2019-11-27 12:02:11,0.002s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:02:11,2019-11-27 12:02:11,0.012s,ERROR
,,,,,,
Test Cases/Create Sweep/Create a sweep for the DDA account for sweep type OD rel account info already exists,,,2019-11-27 12:02:11,2019-11-27 12:02:12,0.587s,ERROR
"str = ""createSweepServiceOperationResponse.RESPONSE.Output.xStatus.""",,,2019-11-27 12:02:12,2019-11-27 12:02:12,0.002s,PASSED
"testdatapath = findTestData(""Z-Connect Test Data/Create Sweep_TestData"")",,,2019-11-27 12:02:12,2019-11-27 12:02:12,0.010s,ERROR
